"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2408.920923,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.035605,
"AUS","GDP","TOT","USD_CAP","A","1962",2572.776401,
"AUS","GDP","TOT","USD_CAP","A","1963",2747.828019,
"AUS","GDP","TOT","USD_CAP","A","1964",2897.584495,
"AUS","GDP","TOT","USD_CAP","A","1965",2996.236771,
"AUS","GDP","TOT","USD_CAP","A","1966",3269.328211,
"AUS","GDP","TOT","USD_CAP","A","1967",3440.283087,
"AUS","GDP","TOT","USD_CAP","A","1968",3825.844994,
"AUS","GDP","TOT","USD_CAP","A","1969",4199.804654,
"AUS","GDP","TOT","USD_CAP","A","1970",4656.310883,
"AUS","GDP","TOT","USD_CAP","A","1971",4865.38697,
"AUS","GDP","TOT","USD_CAP","A","1972",5215.652118,
"AUS","GDP","TOT","USD_CAP","A","1973",5802.847922,
"AUS","GDP","TOT","USD_CAP","A","1974",6250.276595,
"AUS","GDP","TOT","USD_CAP","A","1975",6933.249054,
"AUS","GDP","TOT","USD_CAP","A","1976",7398.206922,
"AUS","GDP","TOT","USD_CAP","A","1977",7727.688132,
"AUS","GDP","TOT","USD_CAP","A","1978",8551.259417,
"AUS","GDP","TOT","USD_CAP","A","1979",9456.037043,
"AUS","GDP","TOT","USD_CAP","A","1980",10476.704186,
"AUS","GDP","TOT","USD_CAP","A","1981",11833.672015,
"AUS","GDP","TOT","USD_CAP","A","1982",11898.148048,
"AUS","GDP","TOT","USD_CAP","A","1983",12704.598916,
"AUS","GDP","TOT","USD_CAP","A","1984",13481.664661,
"AUS","GDP","TOT","USD_CAP","A","1985",14404.014389,
"AUS","GDP","TOT","USD_CAP","A","1986",14893.230103,
"AUS","GDP","TOT","USD_CAP","A","1987",15942.191055,
"AUS","GDP","TOT","USD_CAP","A","1988",16992.122443,
"AUS","GDP","TOT","USD_CAP","A","1989",17714.046903,
"AUS","GDP","TOT","USD_CAP","A","1990",17718.343598,
"AUS","GDP","TOT","USD_CAP","A","1991",18087.185485,
"AUS","GDP","TOT","USD_CAP","A","1992",19070.183213,
"AUS","GDP","TOT","USD_CAP","A","1993",20106.516701,
"AUS","GDP","TOT","USD_CAP","A","1994",21311.452777,
"AUS","GDP","TOT","USD_CAP","A","1995",22376.435167,
"AUS","GDP","TOT","USD_CAP","A","1996",23208.486934,
"AUS","GDP","TOT","USD_CAP","A","1997",24349.680599,
"AUS","GDP","TOT","USD_CAP","A","1998",25551.289601,
"AUS","GDP","TOT","USD_CAP","A","1999",26962.22254,
"AUS","GDP","TOT","USD_CAP","A","2000",28200.32699,
"AUS","GDP","TOT","USD_CAP","A","2001",29352.830653,
"AUS","GDP","TOT","USD_CAP","A","2002",30603.014783,
"AUS","GDP","TOT","USD_CAP","A","2003",32097.812195,
"AUS","GDP","TOT","USD_CAP","A","2004",33699.750986,
"AUS","GDP","TOT","USD_CAP","A","2005",35439.508194,
"AUS","GDP","TOT","USD_CAP","A","2006",37596.562216,
"AUS","GDP","TOT","USD_CAP","A","2007",39369.060677,
"AUS","GDP","TOT","USD_CAP","A","2008",39703.9387,
"AUS","GDP","TOT","USD_CAP","A","2009",41191.71311,
"AUS","GDP","TOT","USD_CAP","A","2010",42306.724481,
"AUS","GDP","TOT","USD_CAP","A","2011",43801.566487,
"AUS","GDP","TOT","USD_CAP","A","2012",43166.593565,
"AUS","GDP","TOT","USD_CAP","A","2013",46929.714356,
"AUS","GDP","TOT","USD_CAP","A","2014",46973.135344,"E"
"AUT","GDP","TOT","USD_CAP","A","1970",3841.769575,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4224.01863,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4653.780921,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5118.367718,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5788.223203,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6318.010508,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6981.826157,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7788.591769,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8324.628135,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9510.840122,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10548.097841,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11486.921431,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12435.982019,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13332.859956,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13813.890043,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14605.232633,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15233.131188,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15823.769975,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16893.60242,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18150.673893,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19490.945367,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20625.873682,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21301.967845,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21743.645426,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22652.44945,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23705.552539,
"AUT","GDP","TOT","USD_CAP","A","1996",24573.177237,
"AUT","GDP","TOT","USD_CAP","A","1997",25532.165513,
"AUT","GDP","TOT","USD_CAP","A","1998",26728.577864,
"AUT","GDP","TOT","USD_CAP","A","1999",27752.729392,
"AUT","GDP","TOT","USD_CAP","A","2000",29566.257035,
"AUT","GDP","TOT","USD_CAP","A","2001",29856.597844,
"AUT","GDP","TOT","USD_CAP","A","2002",31260.90112,
"AUT","GDP","TOT","USD_CAP","A","2003",32215.068542,
"AUT","GDP","TOT","USD_CAP","A","2004",33811.135145,
"AUT","GDP","TOT","USD_CAP","A","2005",34701.953425,
"AUT","GDP","TOT","USD_CAP","A","2006",37629.304018,
"AUT","GDP","TOT","USD_CAP","A","2007",39235.749762,
"AUT","GDP","TOT","USD_CAP","A","2008",41151.37897,
"AUT","GDP","TOT","USD_CAP","A","2009",40629.345448,
"AUT","GDP","TOT","USD_CAP","A","2010",41904.456878,
"AUT","GDP","TOT","USD_CAP","A","2011",44038.724883,
"AUT","GDP","TOT","USD_CAP","A","2012",45878.259449,
"AUT","GDP","TOT","USD_CAP","A","2013",47428.274594,
