"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","PC","Percentage","0","units",,,2.819686,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","PC","Percentage","0","units",,,0.157607,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","PC","Percentage","0","units",,,-0.321012,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","PC","Percentage","0","units",,,0.194175,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","PC","Percentage","0","units",,,-1.161215,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","PC","Percentage","0","units",,,-0.610543,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","PC","Percentage","0","units",,,1.207737,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","PC","Percentage","0","units",,,2.827214,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","PC","Percentage","0","units",,,1.901826,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1962-Q3","Q3-1962","PC","Percentage","0","units",,,0.828809,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1962-Q4","Q4-1962","PC","Percentage","0","units",,,1.777491,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1963-Q1","Q1-1963","PC","Percentage","0","units",,,2.274067,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1963-Q2","Q2-1963","PC","Percentage","0","units",,,-1.330067,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1963-Q3","Q3-1963","PC","Percentage","0","units",,,4.119932,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1963-Q4","Q4-1963","PC","Percentage","0","units",,,2.123631,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1964-Q1","Q1-1964","PC","Percentage","0","units",,,-0.108506,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1964-Q2","Q2-1964","PC","Percentage","0","units",,,2.5176,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","1964-Q3","Q3-1964","PC","Percentage","0","units",,,0.603549,,
