"","location","TIME","gdpv_annpct_quarterly"
"1","ARG",1993.25,2.852959
"2","ARG",1993.5,2.010236
"3","ARG",1993.75,0.805455
"4","ARG",1994,1.421339
"5","ARG",1994.25,2.06826
"6","ARG",1994.5,0.252391
"7","ARG",1994.75,1.240935
"8","ARG",1995,-1.543122
"9","ARG",1995.25,-3.790304
"10","ARG",1995.5,-0.3863
"11","ARG",1995.75,0.766785
"12","ARG",1996,2.74966
"13","ARG",1996.25,2.228766
"14","ARG",1996.5,2.296678
"15","ARG",1996.75,1.822266
"16","ARG",1997,2.100205
"17","ARG",1997.25,1.487514
"18","ARG",1997.5,2.517217
"19","ARG",1997.75,1.351458
"20","ARG",1998,0.517422
"21","ARG",1998.25,1.959505
"22","ARG",1998.5,-0.304614
"23","ARG",1998.75,-2.549266
"24","ARG",1999,-1.245853
"25","ARG",1999.25,-1.129907
"26","ARG",1999.5,-0.28815
"27","ARG",1999.75,1.672821
"28","ARG",2000,-0.340002
"29","ARG",2000.25,-1.608892
"30","ARG",2000.5,-0.255185
"31","ARG",2000.75,0.306858
"32","ARG",2001,0.163646
"33","ARG",2001.25,-0.829818
"34","ARG",2001.5,-4.645879
"35","ARG",2001.75,-5.694873
"36","ARG",2002,-4.931019
"37","ARG",2002.25,0.423986
"38","ARG",2002.5,0.074497
"39","ARG",2002.75,1.019057
"40","ARG",2003,3.695017
"41","ARG",2003.25,3.164325
"42","ARG",2003.5,2.443638
"43","ARG",2003.75,1.876499
"44","ARG",2004,3.00686
"45","ARG",2004.25,0.107602
"46","ARG",2004.5,3.469436
"47","ARG",2004.75,1.696734
"48","ARG",2005,2.877324
"49","ARG",2005.25,2.380596
"50","ARG",2005.5,1.409175
"51","ARG",2005.75,2.152272
"52","ARG",2006,2.259626
"53","ARG",2006.25,2.160552
"54","ARG",2006.5,2.007446
"55","ARG",2006.75,1.321988
"56","ARG",2007,1.924323
"57","ARG",2007.25,2.429276
"58","ARG",2007.5,1.39406
"59","ARG",2007.75,3.020131
"60","ARG",2008,-0.948298
"61","ARG",2008.25,0.96575
"62","ARG",2008.5,1.729998
"63","ARG",2008.75,-4.318766
"64","ARG",2009,1.12887
"65","ARG",2009.25,-1.194995
"66","ARG",2009.5,2.709904
"67","ARG",2009.75,2.828494
"68","ARG",2010,1.340596
"69","ARG",2010.25,4.769521
"70","ARG",2010.5,1.458182
"71","ARG",2010.75,1.347723
"72","ARG",2011,2.710458
"73","ARG",2011.25,2.264493
"74","ARG",2011.5,1.217628
"75","ARG",2011.75,0.914084
"76","ARG",2012,-0.55553
"77","ARG",2012.25,-2.670703
"78","ARG",2012.5,2.378092
"79","ARG",2012.75,1.479012
"80","ARG",2013,0.415411
"81","ARG",2013.25,0.521237
"82","ARG",2013.5,0.982493
"83","ARG",2013.75,-0.16197
"84","ARG",2014,-0.86626
"85","ARG",2014.25,0.773408
"86","ARG",2014.5,0.30724
"87","ARG",2014.75,0.379071
"88","ARG",2015,0.702178
"89","ARG",2015.25,0.503636
"90","AUS",1960.25,2.819686
"91","AUS",1960.5,0.157607
"92","AUS",1960.75,-0.321012
"93","AUS",1961,0.194175
"94","AUS",1961.25,-1.161215
