TIME,AUS,AUT,BEL,BGR,CAN,CZE,DNK,EST,FIN,FRA,DEU-E,DEU-W,DEU,GRC,HUN,IRL,ITA,JPN,KOR,KOR,LVA,LTU,LUX,NLD,POL,PRT,ROM,SVK,SVN,ESP,SWE,UK,USA
1980,,,,0.240,0.290,0.206,0.256,,,,,,,,,,0.307,,,,,,,,,,,0.206,,0.315,0.201,0.257,
1981,0.281,,,0.224,0.290,,0.256,0.228,0.205,,,,,,,,0.299,,,,0.246,0.223,,0.244,,,,,,,0.199,0.263,
1982,0.270,,,0.225,0.290,,0.255,0.229,,,,,,0.309,0.209,,0.287,,,,0.242,0.222,,,,,,,,,0.203,0.261,
1983,,0.236,,0.232,0.300,,0.254,0.230,,,,0.248,,,,,0.292,,,,0.239,0.221,,0.252,0.245,,,,,,0.201,0.268,0.331
1984,,,,0.227,0.290,,0.242,0.230,,0.290,,0.252,,,,,0.302,0.255,,,0.235,0.220,,,0.258,,,,,,0.210,0.270,
1985,,,0.220,0.225,0.290,0.198,0.244,0.231,,,,0.242,,,,,0.297,,,,0.232,0.218,0.233,0.243,0.253,,,0.198,,0.348,0.211,0.282,
1986,0.292,,,0.209,0.290,,0.243,0.232,,,,0.239,,,,,0.292,,,,0.229,0.217,,,0.250,,,,,0.328,0.220,0.291,
1987,,,,0.206,0.290,,0.248,0.228,0.197,,,0.238,,,0.244,0.310,0.307,,,,0.225,0.222,,0.236,0.250,,,,,0.315,0.209,0.305,
1988,,,0.224,0.203,0.280,0.198,0.247,0.225,0.202,,,0.242,,0.314,,,0.295,,,,0.221,0.226,,,0.246,,,0.194,,0.299,0.209,0.323,
1989,,,,0.213,0.280,0.185,0.248,0.223,0.205,0.280,,0.245,,,,,0.283,0.260,,,0.233,0.238,,0.256,0.268,,,0.183,,0.295,0.213,0.327,0.359
1990,0.279,,,0.227,0.290,0.201,0.252,0.233,0.202,,,0.246,,,,,0.280,,0.256,,0.225,0.228,,0.273,0.256,,0.227,0.180,,0.296,0.220,0.339,
1991,,,,0.258,0.290,0.222,0.254,0.297,0.201,,0.202,0.244,,,,,0.278,,0.250,,0.247,0.264,0.234,0.273,0.243,,0.258,0.180,,0.288,0.226,0.341,
1992,,,0.223,0.278,0.290,0.181,0.258,0.361,0.199,,0.205,0.253,,,0.266,,0.296,,0.245,,0.250,0.300,,0.269,0.252,,0.259,0.189,,0.286,0.218,0.340,0.355
1993,,0.238,0.282,0.289,0.290,0.215,0.264,0.376,0.211,,0.211,0.254,,,,,0.314,,0.250,,0.265,0.323,,0.271,0.284,0.387,0.267,0.183,,0.337,0.221,0.340,
1994,0.304,0.280,0.274,0.284,0.290,0.220,0.261,0.373,0.211,,0.214,0.266,,0.310,,0.320,0.314,0.261,0.248,,0.284,0.331,0.233,0.270,0.303,0.373,0.264,,,0.330,0.250,0.333,
1995,0.302,0.277,0.263,0.294,0.290,0.214,0.263,0.369,0.217,,0.205,0.263,,0.349,0.304,0.336,0.314,,0.251,,0.293,0.331,,0.268,0.295,0.359,0.306,,,0.335,0.227,0.333,
1996,0.302,,0.269,0.278,0.300,0.229,0.268,0.359,0.223,0.279,0.213,0.252,,,0.300,0.325,0.314,,0.257,,0.306,0.334,,0.272,0.304,0.360,0.302,0.246,,0.344,0.237,0.333,
1997,0.308,0.266,0.265,0.276,0.300,0.226,0.276,0.355,0.237,0.279,0.206,0.256,,,,,0.314,,0.257,,0.307,0.327,0.259,0.267,0.317,0.361,0.305,0.232,0.248,0.333,0.253,0.341,
