"","TIME","location","gini_toth"
"1",1980,"AUS",NA
"2",1981,"AUS",0.281
"3",1982,"AUS",0.27
"4",1983,"AUS",NA
"5",1984,"AUS",NA
"6",1985,"AUS",NA
"7",1986,"AUS",0.292
"8",1987,"AUS",NA
"9",1988,"AUS",NA
"10",1989,"AUS",NA
"11",1990,"AUS",0.279
"12",1991,"AUS",NA
"13",1992,"AUS",NA
"14",1993,"AUS",NA
"15",1994,"AUS",0.304
"16",1995,"AUS",0.302
"17",1996,"AUS",0.302
"18",1997,"AUS",0.308
"19",1998,"AUS",NA
"20",1999,"AUS",0.312
"21",2000,"AUS",0.313
"22",2001,"AUS",NA
"23",2002,"AUS",0.312
"24",2003,"AUS",0.312
"25",2004,"AUS",NA
"26",2005,"AUS",0.323
"27",2006,"AUS",NA
"28",2007,"AUS",0.346
"29",2008,"AUS",NA
"30",2009,"AUS",0.337
"31",2010,"AUS",NA
"32",1980,"AUT",NA
"33",1981,"AUT",NA
"34",1982,"AUT",NA
"35",1983,"AUT",0.236
"36",1984,"AUT",NA
"37",1985,"AUT",NA
"38",1986,"AUT",NA
"39",1987,"AUT",NA
"40",1988,"AUT",NA
"41",1989,"AUT",NA
"42",1990,"AUT",NA
"43",1991,"AUT",NA
"44",1992,"AUT",NA
"45",1993,"AUT",0.238
"46",1994,"AUT",0.28
"47",1995,"AUT",0.277
"48",1996,"AUT",NA
"49",1997,"AUT",0.266
"50",1998,"AUT",NA
"51",1999,"AUT",0.252
"52",2000,"AUT",0.257
"53",2001,"AUT",NA
"54",2002,"AUT",NA
"55",2003,"AUT",NA
"56",2004,"AUT",0.253
"57",2005,"AUT",0.253
"58",2006,"AUT",0.249
"59",2007,"AUT",0.256
"60",2008,"AUT",0.255
"61",2009,"AUT",0.249
"62",2010,"AUT",0.256
"63",1980,"BEL",NA
"64",1981,"BEL",NA
"65",1982,"BEL",NA
"66",1983,"BEL",NA
"67",1984,"BEL",NA
"68",1985,"BEL",0.22
"69",1986,"BEL",NA
"70",1987,"BEL",NA
"71",1988,"BEL",0.224
"72",1989,"BEL",NA
"73",1990,"BEL",NA
"74",1991,"BEL",NA
"75",1992,"BEL",0.223
"76",1993,"BEL",0.282
"77",1994,"BEL",0.274
"78",1995,"BEL",0.263
"79",1996,"BEL",0.269
"80",1997,"BEL",0.265
"81",1998,"BEL",0.273
"82",1999,"BEL",0.271
"83",2000,"BEL",0.26
"84",2001,"BEL",NA
"85",2002,"BEL",NA
"86",2003,"BEL",0.255
"87",2004,"BEL",0.255
"88",2005,"BEL",0.259
"89",2006,"BEL",0.257
"90",2007,"BEL",0.258
"91",2008,"BEL",0.252
"92",2009,"BEL",0.257
"93",2010,"BEL",NA
"94",1980,"BGR",0.24
"95",1981,"BGR",0.224
"96",1982,"BGR",0.225
"97",1983,"BGR",0.232
"98",1984,"BGR",0.227
"99",1985,"BGR",0.225
"100",1986,"BGR",0.209
"101",1987,"BGR",0.206
"102",1988,"BGR",0.203
"103",1989,"BGR",0.213
"104",1990,"BGR",0.227
"105",1991,"BGR",0.258
"106",1992,"BGR",0.278
"107",1993,"BGR",0.289
"108",1994,"BGR",0.284
"109",1995,"BGR",0.294
"110",1996,"BGR",0.278
"111",1997,"BGR",0.276
"112",1998,"BGR",0.256
"113",1999,"BGR",0.251
"114",2000,"BGR",0.241
"115",2001,"BGR",0.245
"116",2002,"BGR",0.241
"117",2003,"BGR",0.247
"118",2004,"BGR",0.254
"119",2005,"BGR",0.276
"120",2006,"BGR",0.305
"121",2007,"BGR",0.328
"122",2008,"BGR",0.348
"123",2009,"BGR",0.352
"124",2010,"BGR",0.358
"125",1980,"CAN",0.29
"126",1981,"CAN",0.29
"127",1982,"CAN",0.29
"128",1983,"CAN",0.3
"129",1984,"CAN",0.29
"130",1985,"CAN",0.29
"131",1986,"CAN",0.29
"132",1987,"CAN",0.29
"133",1988,"CAN",0.28
"134",1989,"CAN",0.28
"135",1990,"CAN",0.29
"136",1991,"CAN",0.29
"137",1992,"CAN",0.29
"138",1993,"CAN",0.29
"139",1994,"CAN",0.29
"140",1995,"CAN",0.29
"141",1996,"CAN",0.3
"142",1997,"CAN",0.3
