"","location","time","execrlc"
"1","",2011,0
"2","",2012,0
"3","0",1975,0
"4","0",1976,0
"5","0",1977,1
"6","0",1978,1
"7","0",1979,1
"8","0",1980,1
"9","0",1981,1
"10","0",1982,1
"11","0",1983,1
"12","0",1984,1
"13","0",1985,1
"14","0",1986,1
"15","0",1987,1
"16","0",1988,1
"17","0",1989,1
"18","0",1990,1
"19","0",1991,1
"20","0",1992,1
"21","0",1993,1
"22","0",1994,1
"23","0",1995,1
"24","0",1996,1
"25","0",1997,1
"26","0",1998,1
"27","0",1999,1
"28","0",2000,1
"29","0",2001,1
"30","0",2002,1
"31","0",2003,1
"32","0",2004,1
"33","0",2005,1
"34","0",2006,3
"35","0",2007,3
"36","0",2008,3
"37","0",2009,3
"38","0",2010,3
"39","0",2011,3
"40","0",2012,3
"41","AFG",1975,2
"42","AFG",1976,2
"43","AFG",1977,2
"44","AFG",1978,2
"45","AFG",1979,3
"46","AFG",1980,3
"47","AFG",1981,3
"48","AFG",1982,3
"49","AFG",1983,3
"50","AFG",1984,3
"51","AFG",1985,3
"52","AFG",1986,3
"53","AFG",1987,3
"54","AFG",1988,3
"55","AFG",1989,3
"56","AFG",1990,3
"57","AFG",1991,3
"58","AFG",1992,3
"59","AFG",1993,0
"60","AFG",1994,0
"61","AFG",1995,0
"62","AFG",1996,0
"63","AFG",1997,0
"64","AFG",1998,0
"65","AFG",1999,0
"66","AFG",2000,0
"67","AFG",2001,0
"68","AFG",2002,NA
"69","AFG",2003,NA
"70","AFG",2004,NA
"71","AFG",2005,NA
"72","AFG",2006,NA
"73","AFG",2007,NA
"74","AFG",2008,NA
"75","AFG",2009,NA
"76","AFG",2010,NA
"77","AFG",2011,NA
"78","AFG",2012,NA
"79","AGO",1975,NA
"80","AGO",1976,3
"81","AGO",1977,3
"82","AGO",1978,3
"83","AGO",1979,3
"84","AGO",1980,3
"85","AGO",1981,3
"86","AGO",1982,3
"87","AGO",1983,3
"88","AGO",1984,3
"89","AGO",1985,3
"90","AGO",1986,3
"91","AGO",1987,3
"92","AGO",1988,3
"93","AGO",1989,3
"94","AGO",1990,3
"95","AGO",1991,3
"96","AGO",1992,3
"97","AGO",1993,3
"98","AGO",1994,3
"99","AGO",1995,3
"100","AGO",1996,3
"101","AGO",1997,3
