"","VARIABLE","Variable"
"1","bsii","Balance of income, value, BOP basis"
"2","bsiid","Balance of income,  BOP basis"
"3","capog","Net capital outlays of the government, value"
"4","cb","Current account balance, value"
"5","cbd","Current account balance"
"6","cbgdpr","Current account balance, as a percentage of GDP"
"7","cbr","Current account balance, residual item"
"8","cbrd","Current account balance, residual item"
"9","cfkg","Government consumption of fixed capital, value"
"10","cg","Government final consumption expenditure, value, GDP expenditure approach"
"11","cgaa","Government final consumption expenditure, value, appropriation account"
"12","cgv","Government final consumption expenditure, volume"
"13","cgv_annpct","Government final consumption expenditure growth "
"14","clf","Employment coefficient, supply"
"15","clfs","Ratio total employment National Accounts based to total employment labour force survey based"
"16","cp","Private final consumption expenditure, value, GDP expenditure approach"
"17","cpaa","Private final consumption expenditure, value, appropriation account"
"18","cpi","Consumer price index"
"19","cpi_ytypct","Headline inflation"
"20","cpidr","Competitiveness indicator, relative consumer prices (CPI), overall weights"
"21","cpih","Consumer price index, harmonised"
"22","cpih_ytypct","Harmonised headline inflation"
"23","cpv","Private final consumption expenditure, volume"
"24","cpv_annpct","Private final consumption expenditure growth "
"25","cq_fbgsv","Net exports, contribution to growth in real GDP"
"26","cq_iskv","Change in inventories, contributions to growth in real GDP"
"27","ctgsvd","Contribution to world trade volume, goods and services expressed in USD"
"28","ecsa","Employment, country specific, variable a"
"29","ee","Dependent employment, total economy"
"30","efflabs","Labour efficiency (trend)"
"31","eg","General government employment"
"32","eqpf","Adjustment for the change in net equity of households in pension fund reserves, value"
"33","es","Total self-employed"
"34","et","Total employment"
"35","et_annpct","Total employment, growth"
"36","et_na","Total employment, National Accounts basis"
"37","etpt","Potential employment of the total economy"
"38","exch","Exchange rate, USD per National currency"
"39","excheb","Nominal effective exchange rate, chain-linked, overall weights"
"40","excher","Real effective exchange rate, constant trade weights"
"41","exchud","Exchange rate, National currency per USD"
"42","fbgs","Net exports of goods and services, value, National Accounts basis"
"43","fbgsd","Net exports of goods and services, value, National Accounts basis"
"44","fdd","Final domestic expenditure, value"
"45","fddv","Final domestic expenditure, volume"
"46","fddv_annpct","Final domestic expenditure growth "
"47","gap","Output gap of the total economy"
"48","gaplfp","Difference of actual and trend participation rate as a percentage of trend"
"49","gapunr","Difference of nairu and unemployment rate"
"50","gdp","Gross domestic product, value, market prices"
"51","gdp_annpct","GDP growth(current prices)"
"52","gdpml","Gross domestic product, mainland, value"
"53","gdpmlv","Gross domestic product, mainland, volume"
"54","gdpofs","Gross domestic product, value, market prices, offshore"
"55","gdpofsv","Gross domestic product, volume, market prices, offshore"
"56","gdptr","Potential output of total economy, value"
"57","gdpv","Gross domestic product, volume, market prices"
"58","gdpv_annpct","GDP growth "
"59","gdpvcsa","GDP value country specific (annual non- adjusted GDP or output approach GDP), volume"
"60","gdpvd","Gross domestic product, volume at constant PPP"
"61","gdpvtr","Potential output of total economy, volume"
"62","gfar","General government gross financial assets, as a percentage of GDP"
"63","ggfl","General government gross financial liabilities, value"
"64","ggflm","Gross public debt, Maastricht criterion, value"
"65","ggflmq","Gross public debt, Maastricht criterion, as a percentage of GDP"
"66","ggflq","General government gross financial liabilities, as a percentage of GDP"
"67","ggintp","Gross government interest payments, value"
"68","ggintr","Gross government interest receipts, value"
"69","gnfl","General government net financial liabilities, value"
"70","gnflq","General government net financial liabilities, as a percentage of GDP"
"71","gnintp","Net government interest payments, value"
"72","gnintq","Net government interest payments, as a percentage of GDP"
"73","gnp","Gross national product, value, market prices"
"74","gnpv","Gross national product, volume, market prices"
"75","hrs","Hours worked per employee, total economy"
"76","ibgv","Private non-residential and government fixed capital formation, volume"
"77","ibv","Private non-residential gross fixed capital formation, volume"
"78","icsa","Fixed investment, country specific, volume"
"79","ifu3","Ratio of potential and actual real GDP of the total economy"
"80","igaa","Government fixed capital formation, value, appropriation account"
"81","igv","Government gross fixed capital formation, volume"
