location,year,quarter,TIME,execrlc_before,execrlc_elected,govfrac,yrcurnt_next,source
BEL,1987,Q4,1987.75,1,1,0.687954,4,"https://en.wikipedia.org/wiki/Belgian_general_election,_1987"
BEL,1991,Q4,1991.75,1,1,0.779172,4,"https://en.wikipedia.org/wiki/Belgian_general_election,_1991"
BEL,1995,Q2,1995.25,1,1,0.738515,4,"https://en.wikipedia.org/wiki/Belgian_federal_election,_1995"
BEL,1999,Q2,1999.25,1,1,0.827804,4,"https://en.wikipedia.org/wiki/Belgian_federal_election,_1999"
BEL,2003,Q2,2003.25,1,1,0.827804,4,"https://en.wikipedia.org/wiki/Belgian_federal_election,_2003"
BEL,2007,Q2,2007.25,1,1,0.785921,4,"https://en.wikipedia.org/wiki/Belgian_federal_election,_2007"
BEL,2010,Q2,2010.25,1,1,0.790099,4,"https://en.wikipedia.org/wiki/Belgian_federal_election,_2010"
CAN,1988,Q4,1988.75,1,1,0.000000,5,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1988"
CAN,1993,Q4,1993.75,1,3,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1993"
CAN,1997,Q2,1997.25,3,3,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1997"
CAN,2000,Q4,2000.75,3,3,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2000"
CAN,2004,Q2,2004.25,3,3,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2004"
CAN,2006,Q1,2006.00,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2006"
CAN,2008,Q4,2008.75,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2008"
CAN,2011,Q2,2011.25,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2011"
CZE,1986,Q2,1986.25,1,1,NA,5,"https://en.wikipedia.org/wiki/Czech_legislative_election,_1986"
CZE,1990,Q2,1990.25,1,0,NA,5,"https://en.wikipedia.org/wiki/Czech_legislative_election,_1990"
CZE,1992,Q2,1992.25,0,1,0.501094,5,"https://en.wikipedia.org/wiki/Czech_legislative_election,_1992"
CZE,1996,Q2,1996.25,1,1,0.442125,5,"https://en.wikipedia.org/wiki/Czech_legislative_election,_1996"
CZE,1998,Q2,1998.25,3,3,0.370262,5,"https://en.wikipedia.org/wiki/Czech_legislative_election,_1998"
CZE,2002,Q2,2002.25,3,3,0.000000,4,"https://en.wikipedia.org/wiki/Czech_legislative_election,_2002"
CZE,2006,Q2,2006.25,2,0,0.429703,4,"https://en.wikipedia.org/wiki/Czech_legislative_election,_2006"
CZE,2010,Q2,2010.25,0,0,0.326667,4,"https://en.wikipedia.org/wiki/Czech_legislative_election,_2010"
DNK,1988,Q2,1988.25,1,3,0.609724,4,"https://en.wikipedia.org/wiki/Danish_general_election,_1988"
DNK,1990,Q4,1990.75,3,1,0.609724,4,"https://en.wikipedia.org/wiki/Danish_general_election,_1990"
DNK,1994,Q3,1994.50,3,3,0.384831,4,"https://en.wikipedia.org/wiki/Danish_general_election,_1994"
DNK,1998,Q1,1998.00,3,3,0.449880,4,"https://en.wikipedia.org/wiki/Danish_general_election,_1998"
DNK,2001,Q4,2001.75,1,1,0.449880,4,"https://en.wikipedia.org/wiki/Danish_general_election,_2001"
DNK,2005,Q1,2005.00,1,1,0.350548,4,"https://en.wikipedia.org/wiki/Danish_general_election,_2005"
DNK,2007,Q4,2007.75,1,1,0.387578,4,"https://en.wikipedia.org/wiki/Danish_general_election,_2007"
DNK,2011,Q3,2011.50,1,3,0.620020,4,"https://en.wikipedia.org/wiki/Danish_general_election,_2011"
EST,1992,Q3,1992.50,1,1,NA,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_1992"
EST,1995,Q1,1995.00,1,1,0.622532,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_1995"
EST,1999,Q1,1999.00,0,1,0.000000,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_1999"
EST,2003,Q1,2003.00,0,0,0.486957,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_2003"
