"","location","TIME","year","quarter","left","execrlc","govfrac","yrcurnt","surprise_election","is_election_date"
"1","BEL",1987.75,1987,"Q4",0,1,0.687954,4,0,1
"2","BEL",1988,1988,"Q1",0,1,0.687954,3.75,0,0
"3","BEL",1988.25,1988,"Q2",0,1,0.687954,3.5,0,0
"4","BEL",1988.5,1988,"Q3",0,1,0.687954,3.25,0,0
"5","BEL",1988.75,1988,"Q4",0,1,0.687954,3,0,0
"6","BEL",1989,1989,"Q1",0,1,0.687954,2.75,0,0
"7","BEL",1989.25,1989,"Q2",0,1,0.687954,2.5,0,0
"8","BEL",1989.5,1989,"Q3",0,1,0.687954,2.25,0,0
"9","BEL",1989.75,1989,"Q4",0,1,0.687954,2,0,0
"10","BEL",1990,1990,"Q1",0,1,0.687954,1.75,0,0
"11","BEL",1990.25,1990,"Q2",0,1,0.687954,1.5,0,0
"12","BEL",1990.5,1990,"Q3",0,1,0.687954,1.25,0,0
"13","BEL",1990.75,1990,"Q4",0,1,0.687954,1,0,0
"14","BEL",1991,1991,"Q1",0,1,0.687954,0.75,0,0
"15","BEL",1991.25,1991,"Q2",0,1,0.687954,0.5,0,0
"16","BEL",1991.5,1991,"Q3",0,1,0.687954,0.25,0,0
"17","BEL",1991.75,1991,"Q4",0,1,0.779172,4,0,1
"18","BEL",1992,1992,"Q1",0,1,0.779172,3.75,0,0
"19","BEL",1992.25,1992,"Q2",0,1,0.779172,3.5,0,0
"20","BEL",1992.5,1992,"Q3",0,1,0.779172,3.25,0,0
"21","BEL",1992.75,1992,"Q4",0,1,0.779172,3,0,0
"22","BEL",1993,1993,"Q1",0,1,0.779172,2.75,0,0
"23","BEL",1993.25,1993,"Q2",0,1,0.779172,2.5,0,0
"24","BEL",1993.5,1993,"Q3",0,1,0.779172,2.25,0,0
"25","BEL",1993.75,1993,"Q4",0,1,0.779172,2,0,0
"26","BEL",1994,1994,"Q1",0,1,0.779172,1.75,0,0
"27","BEL",1994.25,1994,"Q2",0,1,0.779172,1.5,0,0
"28","BEL",1994.5,1994,"Q3",0,1,0.779172,1.25,0,0
"29","BEL",1994.75,1994,"Q4",0,1,0.779172,1,0,0
"30","BEL",1995,1995,"Q1",0,1,0.779172,0.75,0,0
"31","BEL",1995.25,1995,"Q2",0,1,0.738515,4,0,1
"32","BEL",1995.5,1995,"Q3",0,1,0.738515,3.75,0,0
"33","BEL",1995.75,1995,"Q4",0,1,0.738515,3.5,0,0
"34","BEL",1996,1996,"Q1",0,1,0.738515,3.25,0,0
"35","BEL",1996.25,1996,"Q2",0,1,0.738515,3,0,0
"36","BEL",1996.5,1996,"Q3",0,1,0.738515,2.75,0,0
"37","BEL",1996.75,1996,"Q4",0,1,0.738515,2.5,0,0
"38","BEL",1997,1997,"Q1",0,1,0.738515,2.25,0,0
"39","BEL",1997.25,1997,"Q2",0,1,0.738515,2,0,0
"40","BEL",1997.5,1997,"Q3",0,1,0.738515,1.75,0,0
"41","BEL",1997.75,1997,"Q4",0,1,0.738515,1.5,0,0
"42","BEL",1998,1998,"Q1",0,1,0.738515,1.25,0,0
"43","BEL",1998.25,1998,"Q2",0,1,0.738515,1,0,0
"44","BEL",1998.5,1998,"Q3",0,1,0.738515,0.75,0,0
"45","BEL",1998.75,1998,"Q4",0,1,0.738515,0.5,0,0
"46","BEL",1999,1999,"Q1",0,1,0.738515,0.25,0,0
"47","BEL",1999.25,1999,"Q2",0,1,0.827804,4,0,1
"48","BEL",1999.5,1999,"Q3",0,1,0.827804,3.75,0,0
"49","BEL",1999.75,1999,"Q4",0,1,0.827804,3.5,0,0
"50","BEL",2000,2000,"Q1",0,1,0.827804,3.25,0,0
"51","BEL",2000.25,2000,"Q2",0,1,0.827804,3,0,0
"52","BEL",2000.5,2000,"Q3",0,1,0.827804,2.75,0,0
"53","BEL",2000.75,2000,"Q4",0,1,0.827804,2.5,0,0
"54","BEL",2001,2001,"Q1",0,1,0.827804,2.25,0,0
"55","BEL",2001.25,2001,"Q2",0,1,0.827804,2,0,0
"56","BEL",2001.5,2001,"Q3",0,1,0.827804,1.75,0,0
"57","BEL",2001.75,2001,"Q4",0,1,0.827804,1.5,0,0
