"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2408.920923,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.035605,
"AUS","GDP","TOT","USD_CAP","A","1962",2572.776401,
"AUS","GDP","TOT","USD_CAP","A","1963",2747.828019,
"AUS","GDP","TOT","USD_CAP","A","1964",2897.584495,
"AUS","GDP","TOT","USD_CAP","A","1965",2996.236771,
"AUS","GDP","TOT","USD_CAP","A","1966",3269.328211,
"AUS","GDP","TOT","USD_CAP","A","1967",3440.283087,
"AUS","GDP","TOT","USD_CAP","A","1968",3825.844994,
"AUS","GDP","TOT","USD_CAP","A","1969",4199.804654,
"AUS","GDP","TOT","USD_CAP","A","1970",4653.260457,
"AUS","GDP","TOT","USD_CAP","A","1971",4862.621414,
"AUS","GDP","TOT","USD_CAP","A","1972",5212.47725,
"AUS","GDP","TOT","USD_CAP","A","1973",5799.424865,
"AUS","GDP","TOT","USD_CAP","A","1974",6246.46322,
"AUS","GDP","TOT","USD_CAP","A","1975",6928.930052,
"AUS","GDP","TOT","USD_CAP","A","1976",7393.750306,
"AUS","GDP","TOT","USD_CAP","A","1977",7723.041039,
"AUS","GDP","TOT","USD_CAP","A","1978",8545.909773,
"AUS","GDP","TOT","USD_CAP","A","1979",9450.273625,
"AUS","GDP","TOT","USD_CAP","A","1980",10470.284865,
"AUS","GDP","TOT","USD_CAP","A","1981",11826.28378,
"AUS","GDP","TOT","USD_CAP","A","1982",11890.731658,
"AUS","GDP","TOT","USD_CAP","A","1983",12696.524916,
"AUS","GDP","TOT","USD_CAP","A","1984",13473.648117,
"AUS","GDP","TOT","USD_CAP","A","1985",14394.215546,
"AUS","GDP","TOT","USD_CAP","A","1986",14886.157509,
"AUS","GDP","TOT","USD_CAP","A","1987",15928.694335,
"AUS","GDP","TOT","USD_CAP","A","1988",16996.337898,
"AUS","GDP","TOT","USD_CAP","A","1989",17708.687671,
"AUS","GDP","TOT","USD_CAP","A","1990",17714.104188,
"AUS","GDP","TOT","USD_CAP","A","1991",18075.522356,
"AUS","GDP","TOT","USD_CAP","A","1992",19056.199463,
"AUS","GDP","TOT","USD_CAP","A","1993",20076.664554,
"AUS","GDP","TOT","USD_CAP","A","1994",21283.658022,
"AUS","GDP","TOT","USD_CAP","A","1995",22356.265605,
"AUS","GDP","TOT","USD_CAP","A","1996",23175.144716,
"AUS","GDP","TOT","USD_CAP","A","1997",24291.065623,
"AUS","GDP","TOT","USD_CAP","A","1998",25553.429907,
"AUS","GDP","TOT","USD_CAP","A","1999",26962.22254,
"AUS","GDP","TOT","USD_CAP","A","2000",28155.081646,
"AUS","GDP","TOT","USD_CAP","A","2001",29337.245303,
"AUS","GDP","TOT","USD_CAP","A","2002",30603.014783,
"AUS","GDP","TOT","USD_CAP","A","2003",32088.266335,
"AUS","GDP","TOT","USD_CAP","A","2004",33698.798103,
"AUS","GDP","TOT","USD_CAP","A","2005",35439.508194,
"AUS","GDP","TOT","USD_CAP","A","2006",37582.514507,
"AUS","GDP","TOT","USD_CAP","A","2007",39342.902694,
"AUS","GDP","TOT","USD_CAP","A","2008",39703.9387,
"AUS","GDP","TOT","USD_CAP","A","2009",41138.365986,
"AUS","GDP","TOT","USD_CAP","A","2010",42253.177395,
"AUS","GDP","TOT","USD_CAP","A","2011",43801.566487,
"AUS","GDP","TOT","USD_CAP","A","2012",43675.724504,
"AUS","GDP","TOT","USD_CAP","A","2013",44706.3483,
"AUS","GDP","TOT","USD_CAP","A","2014",44971.470146,"E"
"AUT","GDP","TOT","USD_CAP","A","1970",3846.280605,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4228.987927,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4659.261696,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5124.366709,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5795.024161,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6325.435153,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6990.05555,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7797.752897,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8334.429096,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9522.025342,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10560.539791,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11500.417821,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12450.616875,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13348.577512,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13830.14627,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14622.457515,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15251.050568,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15842.4118,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16913.501834,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18172.064058,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19513.869237,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20650.176959,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21327.05012,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21769.233885,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22679.104618,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23733.454352,
"AUT","GDP","TOT","USD_CAP","A","1996",24598.001095,
"AUT","GDP","TOT","USD_CAP","A","1997",25551.710571,
"AUT","GDP","TOT","USD_CAP","A","1998",26741.905096,
"AUT","GDP","TOT","USD_CAP","A","1999",27752.729392,
"AUT","GDP","TOT","USD_CAP","A","2000",29574.151338,
"AUT","GDP","TOT","USD_CAP","A","2001",29849.369022,
"AUT","GDP","TOT","USD_CAP","A","2002",31260.90112,
"AUT","GDP","TOT","USD_CAP","A","2003",32211.892288,
"AUT","GDP","TOT","USD_CAP","A","2004",33820.200323,
"AUT","GDP","TOT","USD_CAP","A","2005",34701.953425,
"AUT","GDP","TOT","USD_CAP","A","2006",37652.678866,
"AUT","GDP","TOT","USD_CAP","A","2007",39239.719597,
"AUT","GDP","TOT","USD_CAP","A","2008",41151.37897,
"AUT","GDP","TOT","USD_CAP","A","2009",40642.354138,
"AUT","GDP","TOT","USD_CAP","A","2010",41875.547523,
"AUT","GDP","TOT","USD_CAP","A","2011",44038.724883,
"AUT","GDP","TOT","USD_CAP","A","2012",44869.977741,
"AUT","GDP","TOT","USD_CAP","A","2013",45132.537208,
