"","location","TIME","gdp_per_capita"
"1","AUS",1989,16680.824244
"2","AUS",1989.25,17120.528237
"3","AUS",1989.5,17325.770022
"4","AUS",1989.75,17310.547007
"5","AUS",1990,17603.660926
"6","AUS",1990.25,17743.301746
"7","AUS",1990.5,17746.723386
"8","AUS",1990.75,17905.898135
"9","AUS",1991,17724.682977
"10","AUS",1991.25,17748.717047
"11","AUS",1991.5,17881.622962
"12","AUS",1991.75,17984.610389
"13","AUS",1992,18188.694197
"14","AUS",1992.25,18430.924881
"15","AUS",1992.5,18659.829415
"16","AUS",1992.75,19130.968107
"17","AUS",1993,19358.191026
"18","AUS",1993.25,19541.089844
"19","AUS",1993.5,19613.617447
"20","AUS",1993.75,20016.061808
"21","AUS",1994,20379.021864
"22","AUS",1994.25,20671.964659
"23","AUS",1994.5,20932.018434
"24","AUS",1994.75,21130.177652
"25","AUS",1995,21294.157898
"26","AUS",1995.25,21509.139617
"27","AUS",1995.5,21944.822619
"28","AUS",1995.75,22066.737076
"29","AUS",1996,22504.044511
"30","AUS",1996.25,22553.574032
"31","AUS",1996.5,22790.506259
"32","AUS",1996.75,22967.391411
"33","AUS",1997,23070.473414
"34","AUS",1997.25,23791.494632
"35","AUS",1997.5,23847.862939
"36","AUS",1997.75,24266.864394
"37","AUS",1998,24371.814721
"38","AUS",1998.25,24764.030139
"39","AUS",1998.5,25216.982695
"40","AUS",1998.75,25548.592286
"41","AUS",1999,25711.70242
"42","AUS",1999.25,25863.366615
"43","AUS",1999.5,26165.245005
"44","AUS",1999.75,26596.779584
"45","AUS",2000,27141.811373
"46","AUS",2000.25,27489.557863
"47","AUS",2000.5,27628.442831
"48","AUS",2000.75,27601.769383
"49","AUS",2001,27895.478507
"50","AUS",2001.25,28245.224417
"51","AUS",2001.5,28570.706128
"52","AUS",2001.75,28955.351303
"53","AUS",2002,29279.323118
"54","AUS",2002.25,29844.143761
"55","AUS",2002.5,30024.632082
"56","AUS",2002.75,30344.675443
"57","AUS",2003,30369.547794
"58","AUS",2003.25,30554.993268
"59","AUS",2003.5,31101.432905
"60","AUS",2003.75,31700.394048
"61","AUS",2004,32136.364258
"62","AUS",2004.25,32500.983876
"63","AUS",2004.5,32857.248634
"64","AUS",2004.75,33195.151483
"65","AUS",2005,33570.841738
"66","AUS",2005.25,33882.952828
"67","AUS",2005.5,34498.334132
"68","AUS",2005.75,35006.142988
"69","AUS",2006,35340.770589
"70","AUS",2006.25,35669.20323
"71","AUS",2006.5,36246.778743
"72","AUS",2006.75,36773.623529
"73","AUS",2007,37502.058575
"74","AUS",2007.25,37844.726587
"75","AUS",2007.5,38154.42648
"76","AUS",2007.75,38353.939669
"77","AUS",2008,38803.771708
"78","AUS",2008.25,39009.133228
"79","AUS",2008.5,39544.672932
"80","AUS",2008.75,39362.960925
"81","AUS",2009,40024.080824
"82","AUS",2009.25,40202.266603
"83","AUS",2009.5,40216.896122
"84","AUS",2009.75,40398.908397
"85","AUS",2010,40334.455139
"86","AUS",2010.25,40571.378263
"87","AUS",2010.5,41025.62285
"88","AUS",2010.75,41877.5635
"89","AUS",2011,42351.916913
"90","AUS",2011.25,43145.035955
"91","AUS",2011.5,43516.206141
"92","AUS",2011.75,43192.404415
"93","AUS",2012,42633.692695
"94","AUS",2012.25,42426.308417
"95","AUS",2012.5,42852.980755
"96","AUS",2012.75,43749.936125
"97","AUS",2013,45130.782992
"98","AUS",2013.25,46248.691437
"99","AUS",2013.5,46844.212039
"100","AUS",2013.75,46978.578099
"101","AUS",2014,46549.609207
"102","AUS",2014.25,46306.855743
"103","AUS",2014.5,46172.385477
"104","AUS",2014.75,46163.395502
"105","AUS",2015,46561.231871
"106","AUS",2015.25,46938.994339
"107","AUT",1995,23491.127572
"108","AUT",1995.25,23689.560089
"109","AUT",1995.5,23833.076036
"110","AUT",1995.75,23991.88618
"111","AUT",1996,24171.089194
"112","AUT",1996.25,24446.452531
"113","AUT",1996.5,24604.996373
"114","AUT",1996.75,24845.83858
"115","AUT",1997,25059.559206
"116","AUT",1997.25,25193.80147
"117","AUT",1997.5,25706.044698
"118","AUT",1997.75,26181.511466
