"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25033.3135,
"AUS","GDP","TOT","MLN_USD","A","1961",25319.2528,
"AUS","GDP","TOT","MLN_USD","A","1962",27904.4846,
"AUS","GDP","TOT","MLN_USD","A","1963",30378.5632,
"AUS","GDP","TOT","MLN_USD","A","1964",32685.9962,
"AUS","GDP","TOT","MLN_USD","A","1965",34472.9265,
"AUS","GDP","TOT","MLN_USD","A","1966",38266.9734,
"AUS","GDP","TOT","MLN_USD","A","1967",40981.5225,
"AUS","GDP","TOT","MLN_USD","A","1968",46467.1141,
"AUS","GDP","TOT","MLN_USD","A","1969",52107.8877,
"AUS","GDP","TOT","MLN_USD","A","1970",58965.0485,
"AUS","GDP","TOT","MLN_USD","A","1971",64215.2261,
"AUS","GDP","TOT","MLN_USD","A","1972",69938.1814,
"AUS","GDP","TOT","MLN_USD","A","1973",79001.9678,
"AUS","GDP","TOT","MLN_USD","A","1974",86453.6884,
"AUS","GDP","TOT","MLN_USD","A","1975",96849.731,
"AUS","GDP","TOT","MLN_USD","A","1976",104389.4913,
"AUS","GDP","TOT","MLN_USD","A","1977",110363.2331,
"AUS","GDP","TOT","MLN_USD","A","1978",123401.7709,
"AUS","GDP","TOT","MLN_USD","A","1979",138081.6013,
"AUS","GDP","TOT","MLN_USD","A","1980",155132.4353,
"AUS","GDP","TOT","MLN_USD","A","1981",178145.4831,
"AUS","GDP","TOT","MLN_USD","A","1982",181909.4886,
"AUS","GDP","TOT","MLN_USD","A","1983",196711.6065,
"AUS","GDP","TOT","MLN_USD","A","1984",211355.8587,
"AUS","GDP","TOT","MLN_USD","A","1985",229031.9815,
"AUS","GDP","TOT","MLN_USD","A","1986",240358.4003,
"AUS","GDP","TOT","MLN_USD","A","1987",261366.4991,
"AUS","GDP","TOT","MLN_USD","A","1988",283548.9406,
"AUS","GDP","TOT","MLN_USD","A","1989",300017.9056,
"AUS","GDP","TOT","MLN_USD","A","1990",304219.8489,
"AUS","GDP","TOT","MLN_USD","A","1991",314007.8425,
"AUS","GDP","TOT","MLN_USD","A","1992",334532.1241,
"AUS","GDP","TOT","MLN_USD","A","1993",355934.0486,
"AUS","GDP","TOT","MLN_USD","A","1994",380993.9413,
"AUS","GDP","TOT","MLN_USD","A","1995",404804.5925,
"AUS","GDP","TOT","MLN_USD","A","1996",424859.6619,
"AUS","GDP","TOT","MLN_USD","A","1997",450311.8835,
"AUS","GDP","TOT","MLN_USD","A","1998",477439.3245,
"AUS","GDP","TOT","MLN_USD","A","1999",509490.7282,
"AUS","GDP","TOT","MLN_USD","A","2000",539197.7181,
"AUS","GDP","TOT","MLN_USD","A","2001",568297.3584,
"AUS","GDP","TOT","MLN_USD","A","2002",599254.0816,
"AUS","GDP","TOT","MLN_USD","A","2003",635660.4667,
"AUS","GDP","TOT","MLN_USD","A","2004",674795.0097,
"AUS","GDP","TOT","MLN_USD","A","2005",718812.8644,
"AUS","GDP","TOT","MLN_USD","A","2006",774147.1657,
"AUS","GDP","TOT","MLN_USD","A","2007",825931.7029,
"AUS","GDP","TOT","MLN_USD","A","2008",850582.9281,
"AUS","GDP","TOT","MLN_USD","A","2009",899106.5673,
"AUS","GDP","TOT","MLN_USD","A","2010",936854.6921,
"AUS","GDP","TOT","MLN_USD","A","2011",984763.1119,
