"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUT","INCOMEINEQ","GINI","INEQ","A","2007",0.285,
"AUT","INCOMEINEQ","GINI","INEQ","A","2008",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2009",0.289,
"AUT","INCOMEINEQ","GINI","INEQ","A","2010",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2011",0.282,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.276,
"BEL","INCOMEINEQ","GINI","INEQ","A","2004",0.288,
"BEL","INCOMEINEQ","GINI","INEQ","A","2005",0.28,
"BEL","INCOMEINEQ","GINI","INEQ","A","2006",0.271,
"BEL","INCOMEINEQ","GINI","INEQ","A","2007",0.282,
"BEL","INCOMEINEQ","GINI","INEQ","A","2008",0.271,
"BEL","INCOMEINEQ","GINI","INEQ","A","2009",0.275,
"BEL","INCOMEINEQ","GINI","INEQ","A","2010",0.27,
"BEL","INCOMEINEQ","GINI","INEQ","A","2011",0.273,
"BEL","INCOMEINEQ","GINI","INEQ","A","2012",0.268,
"CAN","INCOMEINEQ","GINI","INEQ","A","1976",0.304,
"CAN","INCOMEINEQ","GINI","INEQ","A","1977",0.288,
"CAN","INCOMEINEQ","GINI","INEQ","A","1978",0.293,
"CAN","INCOMEINEQ","GINI","INEQ","A","1979",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1980",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1981",0.287,
"CAN","INCOMEINEQ","GINI","INEQ","A","1982",0.291,
"CAN","INCOMEINEQ","GINI","INEQ","A","1983",0.299,
"CAN","INCOMEINEQ","GINI","INEQ","A","1984",0.296,
"CAN","INCOMEINEQ","GINI","INEQ","A","1985",0.293,
"CAN","INCOMEINEQ","GINI","INEQ","A","1986",0.292,
"CAN","INCOMEINEQ","GINI","INEQ","A","1987",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1988",0.284,
"CAN","INCOMEINEQ","GINI","INEQ","A","1989",0.282,
"CAN","INCOMEINEQ","GINI","INEQ","A","1990",0.287,
"CAN","INCOMEINEQ","GINI","INEQ","A","1991",0.294,
"CAN","INCOMEINEQ","GINI","INEQ","A","1992",0.292,
"CAN","INCOMEINEQ","GINI","INEQ","A","1993",0.286,
"CAN","INCOMEINEQ","GINI","INEQ","A","1994",0.287,
"CAN","INCOMEINEQ","GINI","INEQ","A","1995",0.289,
"CAN","INCOMEINEQ","GINI","INEQ","A","1996",0.297,
"CAN","INCOMEINEQ","GINI","INEQ","A","1997",0.301,
"CAN","INCOMEINEQ","GINI","INEQ","A","1998",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","1999",0.308,
"CAN","INCOMEINEQ","GINI","INEQ","A","2000",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2001",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2002",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2003",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2004",0.322,
"CAN","INCOMEINEQ","GINI","INEQ","A","2005",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2006",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2007",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2008",0.321,
"CAN","INCOMEINEQ","GINI","INEQ","A","2009",0.32,
"CAN","INCOMEINEQ","GINI","INEQ","A","2010",0.319,
"CAN","INCOMEINEQ","GINI","INEQ","A","2011",0.315,
"CZE","INCOMEINEQ","GINI","INEQ","A","2004",0.268,
"CZE","INCOMEINEQ","GINI","INEQ","A","2005",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2006",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2007",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2008",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2009",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2010",0.264,
"CZE","INCOMEINEQ","GINI","INEQ","A","2011",0.262,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2011",0.251,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"FIN","INCOMEINEQ","GINI","INEQ","A","1987",0.209,
