"","LOCATION","TIME","INCOMEINEQ"
"1","AUS",2012,0.326
"2","AUT",2007,0.285
"3","AUT",2008,0.281
"4","AUT",2009,0.289
"5","AUT",2010,0.28
"6","AUT",2011,0.282
"7","AUT",2012,0.276
"8","BEL",2004,0.288
"9","BEL",2005,0.28
"10","BEL",2006,0.271
"11","BEL",2007,0.282
"12","BEL",2008,0.271
"13","BEL",2009,0.275
"14","BEL",2010,0.27
"15","BEL",2011,0.273
"16","BEL",2012,0.268
"17","CAN",1976,0.304
"18","CAN",1977,0.288
"19","CAN",1978,0.293
"20","CAN",1979,0.289
"21","CAN",1980,0.289
"22","CAN",1981,0.287
"23","CAN",1982,0.291
"24","CAN",1983,0.299
"25","CAN",1984,0.296
"26","CAN",1985,0.293
"27","CAN",1986,0.292
"28","CAN",1987,0.289
"29","CAN",1988,0.284
"30","CAN",1989,0.282
"31","CAN",1990,0.287
"32","CAN",1991,0.294
"33","CAN",1992,0.292
"34","CAN",1993,0.286
"35","CAN",1994,0.287
"36","CAN",1995,0.289
"37","CAN",1996,0.297
"38","CAN",1997,0.301
"39","CAN",1998,0.307
"40","CAN",1999,0.308
"41","CAN",2000,0.316
"42","CAN",2001,0.317
"43","CAN",2002,0.318
"44","CAN",2003,0.316
"45","CAN",2004,0.322
"46","CAN",2005,0.316
"47","CAN",2006,0.317
"48","CAN",2007,0.318
"49","CAN",2008,0.321
"50","CAN",2009,0.32
"51","CAN",2010,0.319
"52","CAN",2011,0.315
"53","CHE",2010,0.298
"54","CHE",2011,0.289
"55","CHE",2012,0.285
"56","CZE",2004,0.268
"57","CZE",2005,0.261
"58","CZE",2006,0.261
"59","CZE",2007,0.257
"60","CZE",2008,0.26
"61","CZE",2009,0.258
"62","CZE",2010,0.264
"63","CZE",2011,0.262
"64","CZE",2012,0.256
"65","DEU",2011,0.291
"66","DEU",2012,0.289
"67","DNK",2011,0.251
"68","DNK",2012,0.249
"69","ESP",2009,0.334
"70","ESP",2010,0.341
"71","ESP",2011,0.342
"72","ESP",2012,0.335
"73","EST",2004,0.349
"74","EST",2005,0.338
"75","EST",2006,0.342
"76","EST",2007,0.316
"77","EST",2008,0.32
"78","EST",2009,0.321
"79","EST",2010,0.328
"80","EST",2011,0.334
"81","EST",2012,0.338
"82","FIN",1987,0.209
"83","FIN",1988,0.213
"84","FIN",1989,0.217
"85","FIN",1990,0.215
"86","FIN",1991,0.212
"87","FIN",1992,0.211
"88","FIN",1993,0.214
"89","FIN",1994,0.215
"90","FIN",1995,0.22
"91","FIN",1996,0.224
"92","FIN",1997,0.235
"93","FIN",1998,0.243
"94","FIN",1999,0.25
"95","FIN",2000,0.254
"96","FIN",2001,0.262
"97","FIN",2002,0.258
"98","FIN",2003,0.261
"99","FIN",2004,0.266
"100","FIN",2005,0.265
"101","FIN",2006,0.268
"102","FIN",2007,0.269
"103","FIN",2008,0.264
"104","FIN",2009,0.259
"105","FIN",2010,0.264
"106","FIN",2011,0.264
"107","FIN",2012,0.26
"108","FIN",2013,0.262
"109","FRA",2011,0.309
"110","FRA",2012,0.306
"111","GBR",2005,0.35
"112","GBR",2006,0.354
"113","GBR",2007,0.361
"114","GBR",2008,0.359
"115","GBR",2009,0.362
"116","GBR",2010,0.341
"117","GBR",2011,0.344
"118","GBR",2012,0.351
"119","GRC",2004,0.334
"120","GRC",2005,0.346
"121","GRC",2006,0.339
"122","GRC",2007,0.333
"123","GRC",2008,0.33
"124","GRC",2009,0.331
"125","GRC",2010,0.339
"126","GRC",2011,0.337
"127","GRC",2012,0.34
"128","HUN",2012,0.289
"129","HUN",2014,0.288
"130","IRL",2004,0.324
"131","IRL",2005,0.324
"132","IRL",2006,0.318
"133","IRL",2007,0.305
"134","IRL",2008,0.296
"135","IRL",2009,0.314
"136","IRL",2010,0.3
"137","IRL",2011,0.302
"138","IRL",2012,0.304
"139","ISL",2004,0.262
"140","ISL",2005,0.276
"141","ISL",2006,0.292
"142","ISL",2007,0.289
"143","ISL",2008,0.309
"144","ISL",2009,0.27
"145","ISL",2010,0.254
"146","ISL",2011,0.257
"147","ISL",2012,0.257
"148","ISR",2011,0.371
"149","ISR",2012,0.371
"150","ISR",2013,0.36
"151","ITA",2004,0.332
"152","ITA",2005,0.325
"153","ITA",2006,0.325
"154","ITA",2007,0.313
"155","ITA",2008,0.317
