"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","1995",54.9398382253029,
"AUT","GGEXP","TOT","PC_GDP","A","1996",54.9912742216872,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.1322483262677,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.0915042926149,
"AUT","GGEXP","TOT","PC_GDP","A","1999",51.7273394192156,
"AUT","GGEXP","TOT","PC_GDP","A","2000",50.3397200662001,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.0197201507999,
"AUT","GGEXP","TOT","PC_GDP","A","2002",50.6981955359338,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.0164947303071,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.4400113090817,
"AUT","GGEXP","TOT","PC_GDP","A","2005",50.9830529911456,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.2031274626799,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.104635145467,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.7911265764417,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1001772399129,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.7254075060882,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8756075392214,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.0050785379054,
"AUT","GGEXP","TOT","PC_GDP","A","2013",50.8947629086343,
"BEL","GGEXP","TOT","PC_GDP","A","1995",51.8964539543324,
"BEL","GGEXP","TOT","PC_GDP","A","1996",52.1746580100212,
"BEL","GGEXP","TOT","PC_GDP","A","1997",50.9201262120025,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.0999189730905,
"BEL","GGEXP","TOT","PC_GDP","A","1999",49.5689238655999,
"BEL","GGEXP","TOT","PC_GDP","A","2000",48.559960034389,
"BEL","GGEXP","TOT","PC_GDP","A","2001",48.6786461390281,
"BEL","GGEXP","TOT","PC_GDP","A","2002",48.9313798556705,
"BEL","GGEXP","TOT","PC_GDP","A","2003",50.0822609920145,
"BEL","GGEXP","TOT","PC_GDP","A","2004",48.3354144976248,
"BEL","GGEXP","TOT","PC_GDP","A","2005",50.8267598986776,
"BEL","GGEXP","TOT","PC_GDP","A","2006",47.7800295106257,
"BEL","GGEXP","TOT","PC_GDP","A","2007",47.6204262676487,
"BEL","GGEXP","TOT","PC_GDP","A","2008",49.5753898990584,
"BEL","GGEXP","TOT","PC_GDP","A","2009",53.344362221566,
