"","LOCATION","TIME","POP"
"1","AUS",1979,14.51573
"2","AUS",1980,14.69536
"3","AUS",1981,14.92326
"4","AUS",1982,15.18425
"5","AUS",1983,15.39347
"6","AUS",1984,15.57939
"7","AUS",1985,15.78831
"8","AUS",1986,16.01835
"9","AUS",1987,16.26387
"10","AUS",1988,16.53216
"11","AUS",1989,16.81442
"12","AUS",1990,17.06513
"13","AUS",1991,17.28404
"14","AUS",1992,17.479
"15","AUS",1993,17.635
"16","AUS",1994,17.805
"17","AUS",1995,18.005
"18","AUS",1996,18.225
"19","AUS",1997,18.423
"20","AUS",1998,18.608
"21","AUS",1999,18.812
"22","AUS",2000,19.029
"23","AUS",2001,19.275
"24","AUS",2002,19.495
"25","AUS",2003,19.721
"26","AUS",2004,19.933
"27","AUS",2005,20.177
"28","AUS",2006,20.451
"29","AUS",2007,20.828
"30","AUS",2008,21.249
"31","AUS",2009,21.692
"32","AUS",2010,22.032
"33","AUS",2011,22.34
"34","AUS",2012,22.724
"35","AUS",2013,23.131
"36","AUT",1979,7.549424
"37","AUT",1980,7.549432
"38","AUT",1981,7.56871
"39","AUT",1982,7.574139
"40","AUT",1983,7.56191
"41","AUT",1984,7.561434
"42","AUT",1985,7.564984
"43","AUT",1986,7.569794
"44","AUT",1987,7.574585
"45","AUT",1988,7.585317
"46","AUT",1989,7.619566
"47","AUT",1990,7.67785
"48","AUT",1991,7.75489
"49","AUT",1992,7.840709
"50","AUT",1993,7.905632
"51","AUT",1994,7.936117
"52","AUT",1995,7.948278
"53","AUT",1996,7.959016
"54","AUT",1997,7.968041
"55","AUT",1998,7.976788
"56","AUT",1999,7.992323
"57","AUT",2000,8.011566
"58","AUT",2001,8.042293
"59","AUT",2002,8.082121
"60","AUT",2003,8.118245
"61","AUT",2004,8.169441
"62","AUT",2005,8.225278
"63","AUT",2006,8.267948
"64","AUT",2007,8.295189
"65","AUT",2008,8.321541
"66","AUT",2009,8.341483
"67","AUT",2010,8.361069
"68","AUT",2011,8.388534
"69","AUT",2012,8.426311
"70","AUT",2013,8.46857
"71","BEL",1979,9.848382
"72","BEL",1980,9.859242
"73","BEL",1981,9.858981
"74","BEL",1982,9.856303
"75","BEL",1983,9.85552
"76","BEL",1984,9.855372
"77","BEL",1985,9.858308
"78","BEL",1986,9.861823
"79","BEL",1987,9.870233
"80","BEL",1988,9.901664
"81","BEL",1989,9.937697
"82","BEL",1990,9.967378
"83","BEL",1991,10.00449
"84","BEL",1992,10.04516
"85","BEL",1993,10.08447
"86","BEL",1994,10.1156
"87","BEL",1995,10.13681
"88","BEL",1996,10.15664
"89","BEL",1997,10.18125
"90","BEL",1998,10.20301
"91","BEL",1999,10.22642
"92","BEL",2000,10.25125
"93","BEL",2001,10.28657
"94","BEL",2002,10.33278
"95","BEL",2003,10.37613
"96","BEL",2004,10.42114
"97","BEL",2005,10.47862
"98","BEL",2006,10.54796
"99","BEL",2007,10.6257
"100","BEL",2008,10.70997
"101","BEL",2009,10.79649
"102","BEL",2010,10.92027
"103","BEL",2011,11.04774
"104","BEL",2012,11.12825
"105","BEL",2013,11.17844
"106","CAN",1979,24.202
"107","CAN",1980,24.516
"108","CAN",1981,24.82
"109","CAN",1982,25.117
"110","CAN",1983,25.366
"111","CAN",1984,25.607
"112","CAN",1985,25.842
"113","CAN",1986,26.1
"114","CAN",1987,26.447
"115","CAN",1988,26.792
"116","CAN",1989,27.277
"117","CAN",1990,27.69114
"118","CAN",1991,28.03742
"119","CAN",1992,28.37126
"120","CAN",1993,28.68476
"121","CAN",1994,29.00066
"122","CAN",1995,29.30231
"123","CAN",1996,29.61022
"124","CAN",1997,29.90595
"125","CAN",1998,30.15517
"126","CAN",1999,30.40129
"127","CAN",2000,30.68573
"128","CAN",2001,31.01902
"129","CAN",2002,31.35366
"130","CAN",2003,31.63967
"131","CAN",2004,31.94068
"132","CAN",2005,32.24521
"133","CAN",2006,32.57607
"134","CAN",2007,32.92752
"135","CAN",2008,33.31766
"136","CAN",2009,33.72691
"137","CAN",2010,34.12655
"138","CAN",2011,34.48398
"139","CAN",2012,34.88049
"140","CAN",2013,35.158
"141","CHE",1979,6.294364
"142","CHE",1980,6.319409
"143","CHE",1981,6.354073
"144","CHE",1982,6.391309
"145","CHE",1983,6.418774
"146","CHE",1984,6.441865
"147","CHE",1985,6.470366
"148","CHE",1986,6.504125
"149","CHE",1987,6.545107
"150","CHE",1988,6.593387
"151","CHE",1989,6.646912
"152","CHE",1990,6.712273
"153","CHE",1991,6.799979
"154","CHE",1992,6.875364
"155","CHE",1993,6.938265
"156","CHE",1994,6.993795
"157","CHE",1995,7.040687
"158","CHE",1996,7.071851
"159","CHE",1997,7.088906
"160","CHE",1998,7.110002
"161","CHE",1999,7.143991
"162","CHE",2000,7.18425
"163","CHE",2001,7.226647
"164","CHE",2002,7.284754
"165","CHE",2003,7.339
"166","CHE",2004,7.389625
"167","CHE",2005,7.437115
"168","CHE",2006,7.483934
"169","CHE",2007,7.551117
"170","CHE",2008,7.647675
"171","CHE",2009,7.743831
"172","CHE",2010,7.82797
"173","CHE",2011,7.912398
"174","CHE",2012,7.996861
"175","CHE",2013,8.14
"176","CHL",1979,11.02198
"177","CHL",1980,11.17417
"178","CHL",1981,11.35977
"179","CHL",1982,11.54537
"180","CHL",1983,11.73097
"181","CHL",1984,11.91657
"182","CHL",1985,12.10217
"183","CHL",1986,12.31749
"184","CHL",1987,12.53282
"185","CHL",1988,12.74813
"186","CHL",1989,12.96346
"187","CHL",1990,13.17878
"188","CHL",1991,13.42201
"189","CHL",1992,13.66524
"190","CHL",1993,13.90847
"191","CHL",1994,14.15171
"192","CHL",1995,14.39494
"193","CHL",1996,14.5955
"194","CHL",1997,14.79608
"195","CHL",1998,14.99665
"196","CHL",1999,15.19721
"197","CHL",2000,15.39778
"198","CHL",2001,15.57168
"199","CHL",2002,15.74558
"200","CHL",2003,15.91948
"201","CHL",2004,16.09338
"202","CHL",2005,16.26728
"203","CHL",2006,16.43267
"204","CHL",2007,16.59807
"205","CHL",2008,16.76347
"206","CHL",2009,16.92887
"207","CHL",2010,17.09428
"208","CHL",2011,17.248
"209","CHL",2012,17.40294
"210","CHL",2013,17.557
"211","CZE",1979,10.29649
"212","CZE",1980,10.32679
"213","CZE",1981,10.30321
"214","CZE",1982,10.31432
"215","CZE",1983,10.32282
"216","CZE",1984,10.33048
"217","CZE",1985,10.33674
"218","CZE",1986,10.34074
"219","CZE",1987,10.34883
"220","CZE",1988,10.35636
"221","CZE",1989,10.36226
"222","CZE",1990,10.36274
"223","CZE",1991,10.30868
"224","CZE",1992,10.31781
"225","CZE",1993,10.33061
"226","CZE",1994,10.33616
"227","CZE",1995,10.33076
"228","CZE",1996,10.31535
"229","CZE",1997,10.30364
"230","CZE",1998,10.29494
"231","CZE",1999,10.28278
"232","CZE",2000,10.2725
"233","CZE",2001,10.22419
"234","CZE",2002,10.20077
"235","CZE",2003,10.20165
"236","CZE",2004,10.20692
"237","CZE",2005,10.23409
"238","CZE",2006,10.26665
"239","CZE",2007,10.32269
"240","CZE",2008,10.42969
"241","CZE",2009,10.49149
"242","CZE",2010,10.51725
"243","CZE",2011,10.49667
"244","CZE",2012,10.50929
"245","CZE",2013,10.51072
"246","CZE",2014,10.52478
"247","DEU",1979,61.359
"248","DEU",1980,61.566
"249","DEU",1981,61.682
"250","DEU",1982,61.638
"251","DEU",1983,61.423
"252","DEU",1984,61.175
"253","DEU",1985,61.024
"254","DEU",1986,61.066
"255","DEU",1987,61.077
"256","DEU",1988,61.45
"257","DEU",1989,62.063
"258","DEU",1990,63.254
"259","DEU",1991,79.984
"260","DEU",1992,80.595
"261","DEU",1993,81.179
"262","DEU",1994,81.422
"263","DEU",1995,81.661
"264","DEU",1996,81.895
"265","DEU",1997,82.052
"266","DEU",1998,82.029
"267","DEU",1999,82.024
"268","DEU",2000,82.16
"269","DEU",2001,82.277
"270","DEU",2002,82.456
"271","DEU",2003,82.502
"272","DEU",2004,82.491
"273","DEU",2005,82.465
"274","DEU",2006,82.369
"275","DEU",2007,82.257
"276","DEU",2008,82.135
"277","DEU",2009,81.904
"278","DEU",2010,81.715
"279","DEU",2011,81.755
"280","DEU",2012,81.913
"281","DEU",2013,82.105
"282","DNK",1979,5.116801
"283","DNK",1980,5.123027
"284","DNK",1981,5.121572
"285","DNK",1982,5.11781
"286","DNK",1983,5.114297
"287","DNK",1984,5.111619
"288","DNK",1985,5.11369
"289","DNK",1986,5.120534
"290","DNK",1987,5.127024
"291","DNK",1988,5.129516
"292","DNK",1989,5.132593
"293","DNK",1990,5.140939
"294","DNK",1991,5.154297
