"","country","TIME","bsii","bsiid","capog","cb","cbd","cbgdpr","cbr","cbrd","cfkg","cg","cgaa","cgv","cgv_annpct","cp","cpaa","cpi","cpi_ytypct","cpidr","cpih","cpih_ytypct","cpv","cpv_annpct","cq_fbgsv","cq_iskv","ecsa","ee","eg","eqpf","es","et","et_annpct","et_na","exch","excheb","excher","exchud","fbgs","fbgsd","fdd","fddv","fddv_annpct","gdp","gdp_annpct","gdpml","gdpmlv","gdpofs","gdpofsv","gdpv","gdpv_annpct","gdpvcsa","gdpvd","gfar","ggfl","ggflq","ggintp","ggintr","gnfl","gnflq","gnintp","gnintq","gnp","gnpv","hrs","ibgv","ibv","icsa","igaa","igv","ihv","iobv","ioilv","irl","irs","ishv","it","itisk","itiskv","itv","itv_annpct","lf","mgs","mgsd","mgsv","mgsv_annpct","mgsvd","mpen","msha","nlg","nlga","nlgq","nlgqa","nlgqu","nlgu","nlgx","nlgxa","nlgxq","nlgxqa","nlgxqu","nlgxu","ntr","ntrd","pcg","pcore","pcore_ytypct","pcoreh","pcoreh_ytypct","pcp","pcp_ytypct","pdty","pfdd","pgdp","pgdp_annpct","pgdpml","pgdpofs","pgnp","pigaa","pit","pitisk","pmgs","pmgsd","pmgsx","pmnw","pmsh","pmshx","ppp","ptdd","pxc","pxcx","pxgs","pxgsd","pxgsx","pxnw","r_gdpvwds","rpmgs","rpxgs","savg","savh","savh_g","shtgsvd","sratio","sratio_g","sspg","ssrg","taxq","tdd","tddv","tddv_annpct","tev","tevd","tgsvd","tgsvd_annpct","tind","tkpg","tktrg","tocr","trpesh","trptsh","ty","tyb","tyh","ulc","ulcdr","un","unr","unrs","wage","wrt","wsss","wsst","xgs","xgsd","xgsv","xgsv_annpct","xgsvd","xmkt","xperf","xperf_annpct","xsha","ydh","ydh_g","ydrh","ydrh_g","ypepg","ypepgx","yperg","ypergx","ypg","ypgq","ypgt","ypgtq","ypgtqu","ypgtu","ypgtxqu","ypgtxu","ypgx","yph","ypotg","ypoth","yrg","yrgq","yrgt","yrgtq","yrgx","yrh","yrh_g","yroth","yse","yse_g","YEAR","QUARTER","yrg_interpolated","nlg_interpolated","gdpv_interpolated","gdpvd_interpolated","unr_interpolated","gap_interpolated","gaplfp_interpolated","gdpv_yoy_annpct","pop_interpolated","gini_net_interpolated","gini_market_interpolated","fiscal_transparency_interpolated","lpop_interpolated","gini_red_abs","gini_red_rel","year","quarter","execrlc","govfrac","yrcurnt","is_election_date","TIME.NUMERIC","egr","government_revenue","nlg_to_gdpv","gdp_per_capita","gdp_per_capita_log"
"1","BEL","1990",3952722818.00238,4516249660.2612,NA,2575692331.60974,2942900414.01098,1.5329543036,843673350.603695,963953117.502171,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4455136358,NA,NA,NA,NA,NA,NA,NA,3172279.04240526,759449.978335133,NA,694998.91097953,3929761.31049837,0.7160818168,3867277.95338479,1.1425667491,78.9238874642,NA,0.8752223892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65179918441.2676,NA,NA,72338232734.7182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1517.7105276336,NA,NA,NA,NA,NA,NA,NA,NA,10.2833333333,10.3666666667,NA,NA,NA,NA,NA,NA,4213468.16708189,NA,NA,NA,NA,NA,0.3324983857,NA,-2941709106.28346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4544119225.48067,-5191959530.98351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4079914319,0.8733782364,1.0124068542,0.9026395457,NA,0.8222872297,0.9555138682,NA,NA,NA,0.4346764981,NA,1.2641843948,0.9927183402,NA,NA,NA,0.028631989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0847321677,283706.856583514,6.7333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166384235100.465,0.964617679,2.0084080105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18918220134.1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990","Q1",18918220134.1923,-2941709106.28346,65179918441.2676,72338232734.7182,6.5499332391,1.8292985749,0.1344479665,3.36801410148516,9.967378,23.4218607139587,45.224627494812,NA,2.29931756041918,21.8027667808533,93.0872531739527,1990,"Q1",1,0.687954,1.75,0,1990,18.0243435625883,29.0246146153728,-4.51321384965245,7257.49868568426,8.88979051480118
"2","BEL","1990.25",3845374124.13023,4481068702.11429,NA,2803893898.73447,3267417106.39407,1.6491151719,1386042121.95044,1615174433.48611,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1429508357,NA,NA,NA,NA,NA,NA,NA,3175736.14944412,757012.351005736,NA,703424.287955449,3941835.7790307,1.2347042108,3879160.43739957,1.165314104,80.1466684793,NA,0.85813773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65665363434.7431,NA,NA,72876991201.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520.9236646004,NA,NA,NA,NA,NA,NA,NA,NA,9.9733333333,9.7666666667,NA,NA,NA,NA,NA,NA,4220380.91973308,NA,NA,NA,NA,NA,0.3327413009,NA,-2885963727.69389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4719308497.35086,-5499476753.22338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3880157086,0.8609262065,1.008515816,0.8991830858,NA,0.8118425788,0.9729296212,NA,NA,NA,0.423341166,NA,1.2511332453,1.0014175179,NA,NA,NA,0.0284768511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5419961465,278545.140702383,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168760552319.221,0.9578203064,-2.7890266268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19309060433.2634,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990","Q2",19309060433.2634,-2885963727.69389,65665363434.7431,72876991201.401,6.45860514678057,1.74060787476709,0.0955640693195924,3.34587756110409,9.97581469806367,23.4297891358144,45.2905614409334,NA,2.30016363343213,21.860772305119,93.3033250039072,1990,"Q2",1,0.687954,1.5,0,1990.25,17.9370622084419,29.4052441397851,-4.39495584390072,7305.36737170415,8.89636461336575
"3","BEL","1990.5",3305765087.03028,4067916819.4209,NA,2842841269.66194,3498264852.86967,1.6529645801,1677369274.32293,2064090612.53891,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5472769318,NA,NA,NA,NA,NA,NA,NA,3177232.05520849,753461.06785986,NA,708495.752740274,3948509.25815659,0.6789167091,3885727.80794877,1.2305522965,80.5114979883,NA,0.8126432358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66057617945.1017,NA,NA,73312324640.5971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1517.7997268093,NA,NA,NA,NA,NA,NA,NA,NA,9.9466666667,9.1,NA,NA,NA,NA,NA,NA,4221499.56324654,NA,NA,NA,NA,NA,0.333079453,NA,-2891163297.99376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4470764304.27807,-5501509281.58579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4115460452,0.8488321805,0.9753076808,0.8975639317,NA,0.7949505901,0.9061520896,NA,NA,NA,0.4253152981,NA,1.2403904025,1.0210911423,NA,NA,NA,0.0282403827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.0414806047,272990.305089943,6.4666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170659365100.613,0.9535322175,-1.7787797917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19672466863.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990","Q3",19672466863.0111,-2891163297.99376,66057617945.1017,73312324640.5971,6.41101912782625,1.57209858711864,0.0161924921195776,3.1272930626281,9.98493888845695,23.417850440011,45.3125579574562,NA,2.30107784651424,21.8947075174452,93.4958038677902,1990,"Q3",1,0.687954,1.25,0,1990.5,17.8481853798988,29.7807693873555,-4.37672957023142,7342.29077008669,8.90140616693462
"4","BEL","1990.75",3165969143.6641,4122102351.47143,NA,2719746597.4421,3541119112.66054,1.5630797265,887071613.278435,1154970189.8821,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.2576597585,NA,NA,NA,NA,NA,NA,NA,3177459.92189009,749491.449790083,NA,708569.983109897,3948816.23617013,0.0311017444,3886029.90499999,1.3020033249,81.3520830766,NA,0.7680471938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66356681972.3436,NA,NA,73644233052.3066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1508.2896791166,NA,NA,NA,NA,NA,NA,NA,NA,10.0433333333,9.3,NA,NA,NA,NA,NA,NA,4218820.76513903,NA,NA,NA,NA,NA,0.3336594747,NA,-2957307817.18308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3779586779.54864,-4921034553.58904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4314648629,0.8457077224,0.9685807756,0.898299432,NA,0.7842600482,0.8789079102,NA,NA,NA,0.4265018487,NA,1.2302634982,1.0346215735,NA,NA,NA,0.0279781972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6708983624,270004.528968898,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173144967054.707,0.9468313529,-2.7814730275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20008439423.4356,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990","Q4",20008439423.4356,-2957307817.18308,66356681972.3436,73644233052.3066,6.40583615203381,1.38788961353587,-0.078700504390226,2.71728195959824,9.99456063462176,23.3436549917238,45.3191972786981,NA,2.30204100846908,21.9755422869743,94.139252378282,1990,"Q4",1,0.687954,1,0,1990.75,17.7654252577707,30.1528630255726,-4.45668428450904,7368.43126422171,8.9049601082827
"5","BEL","1991",3070182380.96505,3926231633.83177,NA,2244443620.34654,2870254743.55908,1.2781405782,674495296.647583,862562689.105155,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1373639005,0.6387170772,NA,NA,NA,NA,NA,NA,3181917.32898261,744734.47976158,NA,706221.273256114,3950959.00349232,0.21723088,3888138.60223873,1.2788268404,81.6996812452,NA,0.7819666966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66562555516.4686,NA,NA,73872716436.5294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495.9215264347,NA,NA,NA,NA,NA,NA,NA,NA,9.5066666667,9.6266666667,NA,NA,NA,NA,NA,NA,4221110.04646615,NA,NA,NA,NA,NA,0.3328639531,NA,-3084397285.26185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3685279831.48299,-4712834763.04186,NA,NA,NA,0.6754318728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380323304,0.8439034112,0.9816240183,0.8952532707,NA,0.7850780774,0.9009322933,NA,NA,NA,0.3954328731,NA,1.2251369039,1.0325362056,NA,NA,NA,0.027992093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.0472528897,270151.042973834,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173865683104.147,0.9454083651,-0.599804016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20316978114.5367,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991","Q1",20316978114.5367,-3084397285.26185,66562555516.4686,73872716436.5294,6.4417171892,1.2520998556,-0.1641486595,2.12126235850819,10.00449,23.1648131561279,45.339059638977,NA,2.30303399222371,22.1742464828491,95.7238305070604,1991,"Q1",1,0.687954,0.75,0,1991,17.6430955735224,30.5231341508665,-4.63383243225798,7383.9562472979,8.90706485082628
"6","BEL","1991.25",4683906797.53179,5295308780.82741,NA,4550592165.04603,5144592258.37513,2.556973703,3427926084.58501,3875381787.12173,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1359883244,0.6412742203,NA,NA,NA,NA,NA,NA,3181461.01316855,741870.499102041,NA,710827.186189626,3955175.64538119,0.4275819592,3892288.19935817,1.1305324828,80.1685780479,NA,0.8845389365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66828415279.8277,NA,NA,74167773961.8619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484.275603239,NA,NA,NA,NA,NA,NA,NA,NA,9.2233333333,9.18,NA,NA,NA,NA,NA,NA,4224110.69282434,NA,NA,NA,NA,NA,0.33428471,NA,-3219074901.35782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6031341638.40346,-6818627636.83462,NA,NA,NA,0.6817397609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4011525937,0.8749269925,1.0109801734,0.8936324439,NA,0.8293264276,0.9604379443,NA,NA,NA,0.4278027441,NA,1.2118097628,0.9759839632,NA,NA,NA,0.0278967842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8704124887,268935.04744315,6.3666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175405259929.337,0.9479211181,1.067385733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20581731395.0423,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991","Q2",20581731395.0423,-3219074901.35782,66828415279.8277,74167773961.8619,6.51924411149834,1.19801166815866,-0.220225012588326,1.77118009289697,10.0145632211197,22.8642910809538,45.3943467288377,NA,2.30404035569741,22.5300556478839,98.5381771431862,1991,"Q2",1,0.687954,0.5,0,1991.25,17.5627617988867,30.7978743904988,-4.81692538702097,7405.99188644087,8.91004466593432
"7","BEL","1991.5",4960567216.44607,5571810436.94009,NA,3030471812.85674,3403887849.70948,1.68001338,-146416695.996532,-164458224.089994,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3506807898,0.6464493298,NA,NA,NA,NA,NA,NA,3180450.59941529,739812.213678178,NA,714825.668796068,3958211.99226752,0.3074295967,3895276.26821136,1.123220429,80.4709979649,NA,0.8902971974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67154261262.4208,NA,NA,74529405628.3042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.5269521153,NA,NA,NA,NA,NA,NA,NA,NA,9.37,9.2433333333,NA,NA,NA,NA,NA,NA,4230365.50652033,NA,NA,NA,NA,NA,0.3358860755,NA,-3361340665.47101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4603406763.03405,-5170640519.23679,NA,NA,NA,0.6878279994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405569154,0.8754718596,1.008088581,0.8942603917,NA,0.8315316561,0.9587458019,NA,NA,NA,0.4323221729,NA,1.1964833497,0.9709357798,NA,NA,NA,0.0277087085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.810619147,272153.514252808,6.4333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176874390233.36,0.9510430623,1.3239081223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20802699264.9522,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991","Q3",20802699264.9522,-3361340665.47101,67154261262.4208,74529405628.3042,6.6466824006095,1.1355612191251,-0.247159803387382,1.66013149040656,10.0247212268537,22.5264780441529,45.481746063733,NA,2.30505416501085,22.9552680195801,101.9034931896,1991,"Q3",1,0.687954,0.25,0,1991.5,17.4881393236091,30.9774821044652,-5.00540189450644,7434.56141490086,8.91389486790091
"8","BEL","1991.75",4939468139.16401,5947069858.65783,NA,3451990297.6531,4156161528.56216,1.8899304028,525851997.486744,633120505.337991,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9451422565,0.6520613853,NA,NA,NA,NA,NA,NA,3178213.70448302,738393.01186441,NA,711507.168449745,3952566.83883053,-0.5692558512,3889720.87293276,1.2039899218,81.722320711,NA,0.8305717364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67540093464.2479,NA,NA,74957611435.8564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473.1844740949,NA,NA,NA,NA,NA,NA,NA,NA,9.1433333333,9.48,NA,NA,NA,NA,NA,NA,4230360.51248362,NA,NA,NA,NA,NA,0.3373383286,NA,-3511194577.60142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5221048570.01881,-6286089859.58608,NA,NA,NA,0.694763743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3913144645,0.8577179404,0.9893914739,0.89879833,NA,0.8067715449,0.9253405393,NA,NA,NA,0.4171010846,NA,1.1794999783,0.997411921,NA,NA,NA,0.0275168959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5494328032,277793.673653091,6.5666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177821313051.992,0.9547324242,1.5607644624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20979881724.2665,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991","Q4",20979881724.2665,-3511194577.60142,67540093464.2479,74957611435.8564,6.83421844059091,0.943848129678993,-0.250222571717747,1.78340968344013,10.0349311191608,22.261119106232,45.5915666153427,NA,2.30607211816504,23.3304475091108,104.803569837509,1991,"Q4",1,0.779172,4,1,1991.75,17.4546119576675,31.0628556286677,-5.19868184585806,7469.66875464958,8.91860593372326
"9","BEL","1992",3795613374.82031,4596847818.00615,NA,3039360429.92949,3680953769.72294,1.6332418276,291488764.863075,353020542.509172,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7041296811,0.6527776706,2.2013805327,NA,NA,NA,NA,NA,3184112.75281375,735075.174018276,NA,704792.557782707,3951738.09950686,-0.0838420955,3888905.31059645,1.2110948519,82.1040023483,NA,0.8256991584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67985911885.309,NA,NA,75452391384.5183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1471.5734989998,NA,NA,NA,NA,NA,NA,NA,NA,8.7633333333,9.5633333333,NA,NA,NA,NA,NA,NA,4237031.55772716,NA,NA,NA,NA,NA,0.3401835352,NA,-3668636637.74904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4578115152.48837,-5544531692.53398,NA,NA,NA,0.7008128105,3.757734681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3728492598,0.8517573614,0.9896382812,0.9023151564,NA,0.8015109573,0.9345917894,NA,NA,NA,0.4059229991,NA,1.1696740822,1.0029823296,NA,NA,NA,0.0275999165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.150854086,285293.458220295,6.7333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182683325051.499,0.9525815465,-0.8981030195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21113278772.9853,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992","Q1",21113278772.9853,-3668636637.74904,67985911885.309,75452391384.5183,7.0920386155,0.501972021,-0.2346828574,2.13837398188275,10.04516,22.1779593276978,45.7141173553467,NA,2.30709092646259,23.5361580276489,106.124092302103,1992,"Q1",1,0.779172,3.75,0,1992,17.3488246193896,31.0553733670632,-5.39617184798221,7511.31802624531,8.9241662321883
"10","BEL","1992.25",4613374947.36114,5600633200.21196,NA,4365244598.26568,5299403170.79085,2.327448956,1661372158.49013,2016904365.00722,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.9595278888,0.6578700259,2.5879421134,NA,NA,NA,NA,NA,3177631.38603404,734401.292074113,NA,715546.155138295,3956079.35623291,0.4401522178,3893177.54117233,1.213999136,82.103281156,NA,0.8237238152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68188753144.9362,NA,NA,75677509466.8666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1468.6941591933,NA,NA,NA,NA,NA,NA,NA,NA,8.87,9.57,NA,NA,NA,NA,NA,NA,4252324.63944777,NA,NA,NA,NA,NA,0.3405117239,NA,-3781764195.28014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5829387142.23813,-7076870954.17693,NA,NA,NA,0.7057491522,3.5217824621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3845569725,0.8532690266,0.984262603,0.9047820887,NA,0.8017425065,0.9200204152,NA,NA,NA,0.4113563978,NA,1.1503271504,0.9984785853,NA,NA,NA,0.0273367518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5309652403,296245.283214862,6.9666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182171924434.349,0.9534863642,0.3804851051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21322409680.6049,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992","Q2",21322409680.6049,-3781764195.28014,68188753144.9362,75677509466.8666,7.42403832192606,-0.253275156318908,-0.20629018713504,2.03556804304334,10.0553571987074,22.3523048925906,45.8412802070244,NA,2.3081055470797,23.4889753144338,105.085249272078,1992,"Q2",1,0.779172,3.5,0,1992.25,17.2705838416299,31.2696870043712,-5.5460233848857,7526.08862831795,8.92613074736865
