"","location","time","ny_gdp_totl_rt_zs","RevenueIndex","EmploymentIndex","RegulationIndex","SubsidisationIndex","auton","stconst","parlsys"
"1","ABW",1960,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABW",1961,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABW",1962,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABW",1963,NA,NA,NA,NA,NA,NA,NA,NA
"5","ABW",1964,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABW",1965,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABW",1966,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABW",1967,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABW",1968,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABW",1969,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABW",1970,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABW",1971,NA,NA,NA,NA,NA,NA,NA,NA
"13","ABW",1972,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABW",1973,NA,NA,NA,NA,NA,NA,NA,NA
"15","ABW",1974,NA,NA,NA,NA,NA,NA,NA,NA
"16","ABW",1975,NA,NA,NA,NA,NA,NA,NA,NA
"17","ABW",1976,NA,NA,NA,NA,NA,NA,NA,NA
"18","ABW",1977,NA,NA,NA,NA,NA,NA,NA,NA
"19","ABW",1978,NA,NA,NA,NA,NA,NA,NA,NA
"20","ABW",1979,NA,NA,NA,NA,NA,NA,NA,NA
"21","ABW",1980,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABW",1981,NA,NA,NA,NA,NA,NA,NA,NA
"23","ABW",1982,NA,NA,NA,NA,NA,NA,NA,NA
"24","ABW",1983,NA,NA,NA,NA,NA,NA,NA,NA
"25","ABW",1984,NA,NA,NA,NA,NA,NA,NA,NA
"26","ABW",1985,NA,NA,NA,NA,NA,NA,NA,NA
"27","ABW",1986,NA,NA,NA,NA,NA,NA,NA,NA
"28","ABW",1987,NA,NA,NA,NA,NA,NA,NA,NA
"29","ABW",1988,NA,NA,NA,NA,NA,NA,NA,NA
"30","ABW",1989,NA,NA,NA,NA,NA,NA,NA,NA
"31","ABW",1990,NA,NA,NA,NA,NA,NA,NA,NA
"32","ABW",1991,NA,NA,NA,NA,NA,NA,NA,NA
"33","ABW",1992,NA,NA,NA,NA,NA,NA,NA,NA
"34","ABW",1993,NA,NA,NA,NA,NA,NA,NA,NA
"35","ABW",1994,0.00178348645915888,NA,NA,NA,NA,NA,NA,NA
"36","ABW",1995,0.00217523113592951,NA,NA,NA,NA,NA,NA,NA
"37","ABW",1996,0.00168450178877775,NA,NA,NA,NA,NA,NA,NA
"38","ABW",1997,0.00171250336941079,NA,NA,NA,NA,NA,NA,NA
"39","ABW",1998,0.0016728351979713,NA,NA,NA,NA,NA,NA,NA
"40","ABW",1999,0.00123664100550588,NA,NA,NA,NA,NA,NA,NA
"41","ABW",2000,0.00117872465109262,NA,NA,NA,NA,NA,NA,NA
"42","ABW",2001,0.00114757084216885,NA,NA,NA,NA,NA,NA,NA
"43","ABW",2002,0.00142886840826335,NA,NA,NA,NA,NA,NA,NA
"44","ABW",2003,0.00150998030290468,NA,NA,NA,NA,NA,NA,NA
"45","ABW",2004,0.0015796131528077,NA,NA,NA,NA,NA,NA,NA
"46","ABW",2005,0.00155753238861103,NA,NA,NA,NA,NA,NA,NA
"47","ABW",2006,0.00196415229317812,NA,NA,NA,NA,NA,NA,NA
"48","ABW",2007,0.00255577243516704,NA,NA,NA,NA,NA,NA,NA
"49","ABW",2008,0.00336758914850193,NA,NA,NA,NA,NA,NA,NA
"50","ABW",2009,0.00359740202003042,NA,NA,NA,NA,NA,NA,NA
"51","ABW",2010,0.00468744812939243,NA,NA,NA,NA,NA,NA,NA
"52","ABW",2011,0.00536365495199382,NA,NA,NA,NA,NA,NA,NA
"53","ABW",2012,NA,NA,NA,NA,NA,NA,NA,NA
"54","ABW",2013,NA,NA,NA,NA,NA,NA,NA,NA
"55","ABW",2014,NA,NA,NA,NA,NA,NA,NA,NA
"56","ABW",2015,NA,NA,NA,NA,NA,NA,NA,NA
"57","AFG",1960,NA,NA,NA,NA,NA,NA,NA,NA
"58","AFG",1961,NA,NA,NA,NA,NA,NA,NA,NA
"59","AFG",1962,NA,NA,NA,NA,NA,NA,NA,NA
"60","AFG",1963,NA,NA,NA,NA,NA,NA,NA,NA
"61","AFG",1964,NA,NA,NA,NA,NA,NA,NA,NA
"62","AFG",1965,NA,NA,NA,NA,NA,NA,NA,NA
"63","AFG",1966,NA,NA,NA,NA,NA,NA,NA,NA
"64","AFG",1967,NA,NA,NA,NA,NA,NA,NA,NA
"65","AFG",1968,NA,NA,NA,NA,NA,NA,NA,NA
"66","AFG",1969,NA,NA,NA,NA,NA,NA,NA,NA
"67","AFG",1970,1.47856551763725,NA,NA,NA,NA,NA,NA,NA
"68","AFG",1971,1.73685387951348,NA,NA,NA,NA,NA,NA,NA
"69","AFG",1972,2.0428855636225,NA,NA,NA,NA,NA,NA,NA
"70","AFG",1973,3.87147505850835,NA,NA,NA,NA,NA,NA,NA
